method,split,task,regime,mean_success_rate,ci95_success_rate,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
cbf_safety_shield,combined_stress,visual_grasp_centering,camera_extrinsic_drift,0.602041,0.047726,0.532091,0.003820,0.162557,0.001008,0.123928,0.001893,0.056715,0.001318,0.270973,0.001891,0.085723,0.002391,7,84
cbf_safety_shield,combined_stress,visual_grasp_centering,compound_visual_geometry_shift,0.534014,0.035434,0.513301,0.001421,0.184913,0.001085,0.134435,0.002540,0.062973,0.000893,0.274965,0.000741,0.091145,0.001883,7,84
cbf_safety_shield,combined_stress,visual_grasp_centering,depth_scale_error,0.636054,0.029187,0.528591,0.001255,0.167375,0.000960,0.128035,0.000672,0.058213,0.000693,0.271894,0.000572,0.084609,0.000649,7,84
cbf_safety_shield,combined_stress,visual_grasp_centering,jacobian_mismatch,0.544218,0.040961,0.526702,0.001255,0.176679,0.000960,0.133136,0.000672,0.062273,0.000715,0.273276,0.002581,0.088103,0.000649,7,84
cbf_safety_shield,combined_stress,visual_grasp_centering,lighting_shift,0.630952,0.041366,0.536673,0.001216,0.160484,0.000931,0.125163,0.000652,0.057157,0.001152,0.268679,0.000790,0.083285,0.000629,7,84
cbf_safety_shield,combined_stress,visual_grasp_centering,nominal_view,0.688776,0.042731,0.534964,0.001191,0.154215,0.000912,0.118829,0.002636,0.057501,0.000993,0.267429,0.000743,0.082446,0.001926,7,84
cbf_safety_shield,combined_stress,visual_grasp_centering,occlusion_shift,0.596939,0.057927,0.520621,0.001229,0.167050,0.002883,0.126183,0.000586,0.061675,0.002252,0.268145,0.001143,0.086700,0.002653,7,84
cbf_safety_shield,heldout_camera,cable_tip_alignment,camera_extrinsic_drift,0.586735,0.059317,0.535871,0.003839,0.146236,0.000970,0.149300,0.001903,0.059708,0.002890,0.262957,0.000950,0.077525,0.002622,7,84
cbf_safety_shield,heldout_camera,cable_tip_alignment,compound_visual_geometry_shift,0.517007,0.057574,0.529947,0.001370,0.169666,0.001047,0.158279,0.001884,0.062156,0.001291,0.266538,0.000850,0.082537,0.002581,7,84
cbf_safety_shield,heldout_camera,cable_tip_alignment,depth_scale_error,0.578231,0.020905,0.535220,0.004891,0.153190,0.000922,0.154917,0.000645,0.059115,0.000733,0.264584,0.000608,0.079013,0.000623,7,84
cbf_safety_shield,heldout_camera,cable_tip_alignment,jacobian_mismatch,0.554422,0.042251,0.528957,0.001203,0.162644,0.000922,0.156693,0.002631,0.061792,0.000974,0.267672,0.000686,0.082609,0.000623,7,84
cbf_safety_shield,heldout_camera,cable_tip_alignment,lighting_shift,0.576531,0.026387,0.543075,0.005362,0.142698,0.000893,0.149501,0.000625,0.059812,0.002689,0.263509,0.002700,0.075232,0.000603,7,84
cbf_safety_shield,heldout_camera,cable_tip_alignment,nominal_view,0.646259,0.020817,0.551117,0.004935,0.138598,0.003688,0.143554,0.000486,0.059243,0.000741,0.261298,0.000674,0.071299,0.000537,7,84
cbf_safety_shield,heldout_camera,cable_tip_alignment,occlusion_shift,0.581633,0.027148,0.529996,0.001178,0.156639,0.000903,0.156875,0.000631,0.058943,0.000856,0.264070,0.000653,0.080250,0.000610,7,84
cbf_safety_shield,heldout_camera,drawer_handle_alignment,camera_extrinsic_drift,0.656463,0.038921,0.538642,0.001319,0.151305,0.003596,0.138247,0.000579,0.059504,0.001234,0.261711,0.001032,0.077026,0.000628,7,84
cbf_safety_shield,heldout_camera,drawer_handle_alignment,compound_visual_geometry_shift,0.552721,0.041633,0.530446,0.001421,0.166170,0.003545,0.144603,0.000632,0.063078,0.002532,0.269069,0.002445,0.079620,0.000681,7,84
cbf_safety_shield,heldout_camera,drawer_handle_alignment,depth_scale_error,0.578231,0.047180,0.534552,0.001255,0.148820,0.000960,0.136050,0.000672,0.058757,0.002496,0.263459,0.000874,0.076643,0.002413,7,84
cbf_safety_shield,heldout_camera,drawer_handle_alignment,jacobian_mismatch,0.535714,0.041366,0.532863,0.001255,0.158274,0.000960,0.141256,0.000672,0.058515,0.001176,0.266734,0.000812,0.077952,0.000649,7,84
cbf_safety_shield,heldout_camera,drawer_handle_alignment,lighting_shift,0.596939,0.048686,0.543546,0.001216,0.142612,0.000931,0.133661,0.000652,0.058892,0.002649,0.260462,0.000866,0.073499,0.000629,7,84
cbf_safety_shield,heldout_camera,drawer_handle_alignment,nominal_view,0.658163,0.053333,0.544724,0.003869,0.136794,0.000912,0.132218,0.000638,0.055121,0.001221,0.259478,0.000777,0.074111,0.000616,7,84
cbf_safety_shield,heldout_camera,drawer_handle_alignment,occlusion_shift,0.602041,0.046904,0.536185,0.005310,0.159127,0.000941,0.142855,0.000659,0.059992,0.001022,0.267313,0.000683,0.080275,0.000636,7,84
cbf_safety_shield,heldout_camera,eye_in_hand_peg_insert,camera_extrinsic_drift,0.566327,0.025892,0.539030,0.005249,0.148732,0.000999,0.141595,0.000699,0.057197,0.000558,0.266158,0.000530,0.076830,0.002607,7,84
cbf_safety_shield,heldout_camera,eye_in_hand_peg_insert,compound_visual_geometry_shift,0.571429,0.053886,0.530782,0.003787,0.165274,0.002834,0.152566,0.000680,0.062300,0.002501,0.267828,0.002830,0.080569,0.000696,7,84
cbf_safety_shield,heldout_camera,eye_in_hand_peg_insert,depth_scale_error,0.581633,0.045664,0.532400,0.001242,0.151202,0.003960,0.144042,0.002528,0.061845,0.001006,0.263414,0.002407,0.079830,0.001927,7,84
cbf_safety_shield,heldout_camera,eye_in_hand_peg_insert,jacobian_mismatch,0.544218,0.023727,0.530710,0.001242,0.155510,0.000951,0.146756,0.000665,0.062185,0.002196,0.264351,0.000750,0.078770,0.002418,7,84
cbf_safety_shield,heldout_camera,eye_in_hand_peg_insert,lighting_shift,0.593537,0.071905,0.543985,0.001203,0.141793,0.000922,0.140535,0.000645,0.059713,0.001949,0.261781,0.002894,0.073358,0.000623,7,84
cbf_safety_shield,heldout_camera,eye_in_hand_peg_insert,nominal_view,0.634354,0.033665,0.544604,0.001178,0.137271,0.000903,0.138864,0.001920,0.056152,0.001130,0.259578,0.000821,0.074854,0.000610,7,84
cbf_safety_shield,heldout_camera,eye_in_hand_peg_insert,occlusion_shift,0.585034,0.039581,0.535761,0.005320,0.157660,0.000931,0.149271,0.000652,0.059446,0.000492,0.266049,0.000397,0.079691,0.000629,7,84
cbf_safety_shield,heldout_camera,mobile_pick_reapproach,camera_extrinsic_drift,0.644558,0.035798,0.541677,0.004821,0.147091,0.000999,0.129694,0.002379,0.056316,0.003038,0.264313,0.000672,0.078015,0.002395,7,84
cbf_safety_shield,heldout_camera,mobile_pick_reapproach,compound_visual_geometry_shift,0.588435,0.044054,0.531142,0.001408,0.167063,0.003860,0.138515,0.000597,0.062798,0.000849,0.270027,0.000755,0.079523,0.000663,7,84
cbf_safety_shield,heldout_camera,mobile_pick_reapproach,depth_scale_error,0.641156,0.057252,0.537333,0.005300,0.154706,0.002879,0.133491,0.002486,0.059466,0.001417,0.264043,0.002648,0.079954,0.000611,7,84
cbf_safety_shield,heldout_camera,mobile_pick_reapproach,jacobian_mismatch,0.602041,0.038394,0.528783,0.001242,0.157299,0.003635,0.133849,0.001997,0.061912,0.001172,0.263854,0.002048,0.081154,0.002437,7,84
cbf_safety_shield,heldout_camera,mobile_pick_reapproach,lighting_shift,0.608844,0.028545,0.542058,0.001203,0.145297,0.003983,0.126553,0.000490,0.060368,0.000826,0.263996,0.002374,0.074625,0.002481,7,84
cbf_safety_shield,heldout_camera,mobile_pick_reapproach,nominal_view,0.649660,0.037712,0.544964,0.003875,0.135629,0.000903,0.125820,0.000631,0.054198,0.000936,0.258362,0.000661,0.073752,0.000610,7,84
cbf_safety_shield,heldout_camera,mobile_pick_reapproach,occlusion_shift,0.602041,0.041321,0.540694,0.001216,0.156018,0.000931,0.135083,0.000652,0.057412,0.000988,0.264816,0.000686,0.078589,0.000629,7,84
cbf_safety_shield,heldout_camera,visual_grasp_centering,camera_extrinsic_drift,0.624150,0.022690,0.544440,0.001306,0.146088,0.000999,0.113072,0.002588,0.057680,0.002788,0.264054,0.000663,0.079459,0.000675,7,84
cbf_safety_shield,heldout_camera,visual_grasp_centering,compound_visual_geometry_shift,0.610544,0.028219,0.532147,0.001408,0.164742,0.002834,0.120962,0.000680,0.060017,0.002158,0.267319,0.002641,0.080066,0.000696,7,84
cbf_safety_shield,heldout_camera,visual_grasp_centering,depth_scale_error,0.613946,0.017533,0.542910,0.001242,0.154099,0.000951,0.116005,0.000665,0.057792,0.000688,0.266402,0.000602,0.078237,0.000643,7,84
cbf_safety_shield,heldout_camera,visual_grasp_centering,jacobian_mismatch,0.588435,0.017533,0.532073,0.005300,0.161837,0.002879,0.118856,0.002486,0.060426,0.000667,0.266076,0.002624,0.081806,0.000611,7,84
cbf_safety_shield,heldout_camera,visual_grasp_centering,lighting_shift,0.651361,0.031681,0.537431,0.001203,0.149043,0.000922,0.111000,0.002631,0.057154,0.000198,0.263985,0.000338,0.078167,0.000623,7,84
cbf_safety_shield,heldout_camera,visual_grasp_centering,nominal_view,0.671769,0.049852,0.553354,0.001178,0.131987,0.000903,0.105045,0.000631,0.056031,0.001991,0.260491,0.002731,0.071107,0.000610,7,84
cbf_safety_shield,heldout_camera,visual_grasp_centering,occlusion_shift,0.619048,0.029690,0.536419,0.001216,0.153168,0.000931,0.114868,0.000652,0.057666,0.002533,0.262951,0.000730,0.076484,0.000629,7,84
cbf_safety_shield,heldout_object,cable_tip_alignment,camera_extrinsic_drift,0.619048,0.036362,0.543043,0.001267,0.145265,0.000970,0.146242,0.000679,0.057105,0.001029,0.263395,0.000741,0.073024,0.000656,7,84
cbf_safety_shield,heldout_object,cable_tip_alignment,compound_visual_geometry_shift,0.566327,0.032942,0.530258,0.005198,0.163550,0.003883,0.155015,0.000576,0.063419,0.000609,0.266806,0.000693,0.077953,0.000643,7,84
cbf_safety_shield,heldout_object,cable_tip_alignment,depth_scale_error,0.571429,0.035642,0.540105,0.001203,0.148789,0.003655,0.146005,0.001929,0.061395,0.000780,0.264269,0.001802,0.075600,0.002697,7,84
cbf_safety_shield,heldout_object,cable_tip_alignment,jacobian_mismatch,0.585034,0.039907,0.538415,0.001203,0.151382,0.002891,0.149793,0.000573,0.061780,0.002004,0.263553,0.002462,0.074513,0.000591,7,84
cbf_safety_shield,heldout_object,cable_tip_alignment,lighting_shift,0.620748,0.035798,0.543386,0.001165,0.141728,0.000893,0.145300,0.002430,0.056926,0.000959,0.259254,0.000734,0.075304,0.000603,7,84
cbf_safety_shield,heldout_object,cable_tip_alignment,nominal_view,0.617347,0.038586,0.549141,0.001139,0.129052,0.000874,0.141297,0.000611,0.056153,0.001876,0.258917,0.002586,0.071234,0.000590,7,84
cbf_safety_shield,heldout_object,cable_tip_alignment,occlusion_shift,0.591837,0.050332,0.539454,0.001178,0.153954,0.002898,0.146889,0.000559,0.060960,0.000879,0.264729,0.000683,0.075721,0.002675,7,84
cbf_safety_shield,heldout_object,drawer_handle_alignment,camera_extrinsic_drift,0.646259,0.032489,0.547997,0.001319,0.141891,0.001008,0.131539,0.002582,0.057015,0.002780,0.262627,0.000734,0.077030,0.000682,7,84
cbf_safety_shield,heldout_object,drawer_handle_alignment,compound_visual_geometry_shift,0.586735,0.037317,0.530653,0.005157,0.161901,0.001085,0.142675,0.000760,0.057969,0.001231,0.263826,0.000889,0.079707,0.000734,7,84
cbf_safety_shield,heldout_object,drawer_handle_alignment,depth_scale_error,0.591837,0.025313,0.543907,0.001255,0.147981,0.000960,0.134258,0.000672,0.057732,0.000946,0.264137,0.000725,0.074498,0.000649,7,84
cbf_safety_shield,heldout_object,drawer_handle_alignment,jacobian_mismatch,0.569728,0.033555,0.542218,0.001255,0.157435,0.000960,0.139465,0.000672,0.060512,0.001179,0.264921,0.002185,0.078094,0.000649,7,84
cbf_safety_shield,heldout_object,drawer_handle_alignment,lighting_shift,0.636054,0.048266,0.548327,0.004882,0.141773,0.000931,0.131870,0.000652,0.056214,0.000947,0.260885,0.000622,0.073641,0.000629,7,84
cbf_safety_shield,heldout_object,drawer_handle_alignment,nominal_view,0.636054,0.048266,0.551792,0.001191,0.134240,0.002894,0.123497,0.001921,0.057844,0.001060,0.260513,0.000771,0.070795,0.002677,7,84
cbf_safety_shield,heldout_object,drawer_handle_alignment,occlusion_shift,0.595238,0.046667,0.536393,0.001229,0.147998,0.002883,0.132648,0.000586,0.060606,0.001611,0.260191,0.000895,0.075679,0.002661,7,84
cbf_safety_shield,heldout_object,eye_in_hand_peg_insert,camera_extrinsic_drift,0.637755,0.027352,0.541559,0.001306,0.147849,0.000999,0.139763,0.000699,0.058441,0.000882,0.259379,0.001983,0.073519,0.000675,7,84
cbf_safety_shield,heldout_object,eye_in_hand_peg_insert,compound_visual_geometry_shift,0.539116,0.081104,0.526450,0.001408,0.162676,0.001075,0.150665,0.000754,0.059780,0.002364,0.264374,0.001478,0.080661,0.000728,7,84
cbf_safety_shield,heldout_object,eye_in_hand_peg_insert,depth_scale_error,0.583333,0.035642,0.541789,0.001242,0.145174,0.000951,0.139718,0.000665,0.057164,0.001506,0.261906,0.000817,0.073006,0.000643,7,84
cbf_safety_shield,heldout_object,eye_in_hand_peg_insert,jacobian_mismatch,0.561224,0.025166,0.540100,0.001242,0.154628,0.000951,0.144924,0.000665,0.058800,0.000928,0.264977,0.000713,0.076602,0.000643,7,84
