method,split,regime,task,seed,episodes,success_rate,override_precision,unsafe_action_rate,tracking_error,damage_rate,latency_cost,calibration_error
foundation_policy_only,clean_deployment,lighting_shift,visual_grasp_centering,6,84,0.654762,0.235189,0.312141,0.195844,0.115416,0.125128,0.136037
foundation_policy_only,clean_deployment,lighting_shift,drawer_handle_alignment,0,84,0.595238,0.224117,0.316539,0.222720,0.120922,0.120884,0.130804
foundation_policy_only,clean_deployment,lighting_shift,drawer_handle_alignment,1,84,0.607143,0.224933,0.317163,0.223157,0.121161,0.121185,0.131226
foundation_policy_only,clean_deployment,lighting_shift,drawer_handle_alignment,2,84,0.535714,0.225749,0.317787,0.223594,0.123067,0.122319,0.131648
foundation_policy_only,clean_deployment,lighting_shift,drawer_handle_alignment,3,84,0.619048,0.226565,0.318411,0.224031,0.121877,0.121906,0.132070
foundation_policy_only,clean_deployment,lighting_shift,drawer_handle_alignment,4,84,0.690476,0.227381,0.319035,0.224468,0.120926,0.121611,0.132492
foundation_policy_only,clean_deployment,lighting_shift,drawer_handle_alignment,5,84,0.630952,0.228197,0.319659,0.224905,0.122593,0.122626,0.132914
foundation_policy_only,clean_deployment,lighting_shift,drawer_handle_alignment,6,84,0.583333,0.229013,0.308277,0.224861,0.123163,0.123523,0.133144
foundation_policy_only,clean_deployment,lighting_shift,cable_tip_alignment,0,84,0.619048,0.222805,0.310407,0.234103,0.124388,0.122846,0.136338
foundation_policy_only,clean_deployment,lighting_shift,cable_tip_alignment,1,84,0.619048,0.223589,0.311007,0.234523,0.116842,0.123250,0.128739
foundation_policy_only,clean_deployment,lighting_shift,cable_tip_alignment,2,84,0.607143,0.224373,0.311607,0.234943,0.117539,0.123773,0.129145
foundation_policy_only,clean_deployment,lighting_shift,cable_tip_alignment,3,84,0.702381,0.225157,0.312207,0.235363,0.116093,0.123224,0.129551
foundation_policy_only,clean_deployment,lighting_shift,cable_tip_alignment,4,84,0.595238,0.225941,0.312807,0.235783,0.118695,0.124700,0.129956
foundation_policy_only,clean_deployment,lighting_shift,cable_tip_alignment,5,84,0.642857,0.226725,0.313407,0.236203,0.118201,0.124627,0.130362
foundation_policy_only,clean_deployment,lighting_shift,cable_tip_alignment,6,84,0.654762,0.227509,0.314007,0.236623,0.118422,0.124912,0.130767
foundation_policy_only,clean_deployment,lighting_shift,mobile_pick_reapproach,0,84,0.761905,0.232589,0.309591,0.220246,0.120375,0.122157,0.134497
foundation_policy_only,clean_deployment,lighting_shift,mobile_pick_reapproach,1,84,0.678571,0.233397,0.310209,0.220679,0.122514,0.123406,0.134915
foundation_policy_only,clean_deployment,lighting_shift,mobile_pick_reapproach,2,84,0.619048,0.234205,0.310827,0.213107,0.123857,0.124418,0.135332
foundation_policy_only,clean_deployment,lighting_shift,mobile_pick_reapproach,3,84,0.654762,0.235013,0.311445,0.213540,0.115612,0.124476,0.135750
foundation_policy_only,clean_deployment,lighting_shift,mobile_pick_reapproach,4,84,0.642857,0.235821,0.312063,0.213973,0.116322,0.125011,0.136168
foundation_policy_only,clean_deployment,lighting_shift,mobile_pick_reapproach,5,84,0.666667,0.220621,0.312681,0.214406,0.116319,0.125189,0.136586
foundation_policy_only,clean_deployment,lighting_shift,mobile_pick_reapproach,6,84,0.666667,0.221429,0.313299,0.214838,0.116791,0.125605,0.129000
foundation_policy_only,clean_deployment,camera_extrinsic_drift,eye_in_hand_peg_insert,0,84,0.678571,0.221510,0.320854,0.234847,0.117906,0.121746,0.134976
foundation_policy_only,clean_deployment,camera_extrinsic_drift,eye_in_hand_peg_insert,1,84,0.619048,0.222382,0.321520,0.235314,0.119606,0.122790,0.135427
foundation_policy_only,clean_deployment,camera_extrinsic_drift,eye_in_hand_peg_insert,2,84,0.654762,0.223254,0.322186,0.235780,0.119401,0.122880,0.135877
foundation_policy_only,clean_deployment,camera_extrinsic_drift,eye_in_hand_peg_insert,3,84,0.535714,0.224126,0.322852,0.236247,0.122291,0.124519,0.136328
foundation_policy_only,clean_deployment,camera_extrinsic_drift,eye_in_hand_peg_insert,4,84,0.642857,0.224998,0.323518,0.228710,0.120338,0.123895,0.136779
foundation_policy_only,clean_deployment,camera_extrinsic_drift,eye_in_hand_peg_insert,5,84,0.607143,0.225870,0.324184,0.229176,0.121561,0.124701,0.137229
foundation_policy_only,clean_deployment,camera_extrinsic_drift,eye_in_hand_peg_insert,6,84,0.654762,0.226742,0.324850,0.229643,0.121118,0.124672,0.137680
foundation_policy_only,clean_deployment,camera_extrinsic_drift,visual_grasp_centering,0,84,0.607143,0.220054,0.320290,0.203272,0.117656,0.122261,0.134415
foundation_policy_only,clean_deployment,camera_extrinsic_drift,visual_grasp_centering,1,84,0.690476,0.220926,0.320956,0.203739,0.116499,0.121875,0.134866
foundation_policy_only,clean_deployment,camera_extrinsic_drift,visual_grasp_centering,2,84,0.702381,0.221798,0.321622,0.204206,0.116770,0.122204,0.135316
foundation_policy_only,clean_deployment,camera_extrinsic_drift,visual_grasp_centering,3,84,0.702381,0.222670,0.322288,0.204672,0.117279,0.122652,0.135767
foundation_policy_only,clean_deployment,camera_extrinsic_drift,visual_grasp_centering,4,84,0.583333,0.223542,0.322954,0.205139,0.120170,0.124291,0.136218
foundation_policy_only,clean_deployment,camera_extrinsic_drift,visual_grasp_centering,5,84,0.726190,0.224414,0.323620,0.197602,0.117502,0.123310,0.136668
foundation_policy_only,clean_deployment,camera_extrinsic_drift,visual_grasp_centering,6,84,0.642857,0.225286,0.324286,0.198068,0.119678,0.124591,0.137119
foundation_policy_only,clean_deployment,camera_extrinsic_drift,drawer_handle_alignment,0,84,0.523810,0.217926,0.319462,0.226431,0.119639,0.122798,0.133594
foundation_policy_only,clean_deployment,camera_extrinsic_drift,drawer_handle_alignment,1,84,0.607143,0.218806,0.320134,0.226902,0.118487,0.122417,0.134049
foundation_policy_only,clean_deployment,camera_extrinsic_drift,drawer_handle_alignment,2,84,0.607143,0.219686,0.320806,0.227373,0.119001,0.122869,0.134503
foundation_policy_only,clean_deployment,camera_extrinsic_drift,drawer_handle_alignment,3,84,0.559524,0.220566,0.321478,0.227844,0.120467,0.123797,0.134958
foundation_policy_only,clean_deployment,camera_extrinsic_drift,drawer_handle_alignment,4,84,0.583333,0.221446,0.322150,0.228315,0.120504,0.124011,0.135413
foundation_policy_only,clean_deployment,camera_extrinsic_drift,drawer_handle_alignment,5,84,0.654762,0.222326,0.322822,0.228786,0.119590,0.123748,0.135868
foundation_policy_only,clean_deployment,camera_extrinsic_drift,drawer_handle_alignment,6,84,0.702381,0.223206,0.323494,0.229257,0.119151,0.123724,0.136322
foundation_policy_only,clean_deployment,camera_extrinsic_drift,cable_tip_alignment,0,84,0.583333,0.221174,0.316750,0.240231,0.125007,0.126683,0.133458
foundation_policy_only,clean_deployment,camera_extrinsic_drift,cable_tip_alignment,1,84,0.619048,0.222022,0.317398,0.240685,0.124788,0.126762,0.133897
foundation_policy_only,clean_deployment,camera_extrinsic_drift,cable_tip_alignment,2,84,0.523810,0.222870,0.318046,0.241139,0.127189,0.128150,0.134335
foundation_policy_only,clean_deployment,camera_extrinsic_drift,cable_tip_alignment,3,84,0.642857,0.223718,0.318694,0.241593,0.117299,0.127395,0.134774
foundation_policy_only,clean_deployment,camera_extrinsic_drift,cable_tip_alignment,4,84,0.607143,0.224566,0.319342,0.242046,0.118509,0.128189,0.135212
foundation_policy_only,clean_deployment,camera_extrinsic_drift,cable_tip_alignment,5,84,0.571429,0.225414,0.319990,0.242500,0.119719,0.128982,0.135650
foundation_policy_only,clean_deployment,camera_extrinsic_drift,cable_tip_alignment,6,84,0.630952,0.226262,0.320638,0.242954,0.119024,0.120818,0.136089
foundation_policy_only,clean_deployment,camera_extrinsic_drift,mobile_pick_reapproach,0,84,0.642857,0.219486,0.319336,0.220774,0.116939,0.121091,0.133940
foundation_policy_only,clean_deployment,camera_extrinsic_drift,mobile_pick_reapproach,1,84,0.619048,0.220358,0.320002,0.221241,0.117925,0.121778,0.134390
foundation_policy_only,clean_deployment,camera_extrinsic_drift,mobile_pick_reapproach,2,84,0.702381,0.221230,0.320668,0.221708,0.116767,0.121392,0.134841
foundation_policy_only,clean_deployment,camera_extrinsic_drift,mobile_pick_reapproach,3,84,0.642857,0.222102,0.321334,0.222174,0.118467,0.122435,0.135292
foundation_policy_only,clean_deployment,camera_extrinsic_drift,mobile_pick_reapproach,4,84,0.607143,0.222974,0.322000,0.222641,0.119691,0.123241,0.135742
foundation_policy_only,clean_deployment,camera_extrinsic_drift,mobile_pick_reapproach,5,84,0.702381,0.223846,0.322666,0.223107,0.118295,0.122736,0.136193
foundation_policy_only,clean_deployment,camera_extrinsic_drift,mobile_pick_reapproach,6,84,0.630952,0.224718,0.323332,0.215570,0.119913,0.123898,0.136644
foundation_policy_only,clean_deployment,depth_scale_error,eye_in_hand_peg_insert,0,84,0.607143,0.224084,0.322294,0.236139,0.125343,0.126759,0.135701
foundation_policy_only,clean_deployment,depth_scale_error,eye_in_hand_peg_insert,1,84,0.607143,0.224916,0.322930,0.236584,0.125830,0.127187,0.136131
foundation_policy_only,clean_deployment,depth_scale_error,eye_in_hand_peg_insert,2,84,0.678571,0.225748,0.323566,0.237029,0.116883,0.126900,0.136561
foundation_policy_only,clean_deployment,depth_scale_error,eye_in_hand_peg_insert,3,84,0.607143,0.226580,0.324202,0.237475,0.118798,0.128043,0.136992
foundation_policy_only,clean_deployment,depth_scale_error,eye_in_hand_peg_insert,4,84,0.690476,0.227412,0.324838,0.229916,0.117298,0.127637,0.137422
foundation_policy_only,clean_deployment,depth_scale_error,eye_in_hand_peg_insert,5,84,0.666667,0.228244,0.325474,0.230362,0.118260,0.128303,0.137852
foundation_policy_only,clean_deployment,depth_scale_error,eye_in_hand_peg_insert,6,84,0.571429,0.229076,0.326110,0.230807,0.120651,0.129684,0.138282
foundation_policy_only,clean_deployment,depth_scale_error,visual_grasp_centering,0,84,0.666667,0.220868,0.320410,0.203631,0.121465,0.125083,0.134239
foundation_policy_only,clean_deployment,depth_scale_error,visual_grasp_centering,1,84,0.619048,0.221700,0.321046,0.204077,0.122903,0.125988,0.134669
foundation_policy_only,clean_deployment,depth_scale_error,visual_grasp_centering,2,84,0.654762,0.222532,0.321682,0.204522,0.122675,0.126058,0.135099
foundation_policy_only,clean_deployment,depth_scale_error,visual_grasp_centering,3,84,0.714286,0.223364,0.322318,0.204968,0.121971,0.125891,0.135529
foundation_policy_only,clean_deployment,depth_scale_error,visual_grasp_centering,4,84,0.666667,0.224196,0.322954,0.205413,0.123410,0.126795,0.135960
foundation_policy_only,clean_deployment,depth_scale_error,visual_grasp_centering,5,84,0.738095,0.225028,0.323590,0.205858,0.114464,0.126509,0.136390
foundation_policy_only,clean_deployment,depth_scale_error,visual_grasp_centering,6,84,0.547619,0.225860,0.324226,0.206304,0.118760,0.128842,0.136820
foundation_policy_only,clean_deployment,depth_scale_error,drawer_handle_alignment,0,84,0.619048,0.216180,0.329668,0.225914,0.122124,0.123984,0.132299
foundation_policy_only,clean_deployment,depth_scale_error,drawer_handle_alignment,1,84,0.547619,0.217020,0.330310,0.226363,0.124044,0.125130,0.132733
foundation_policy_only,clean_deployment,depth_scale_error,drawer_handle_alignment,2,84,0.666667,0.217860,0.330952,0.226813,0.122154,0.124371,0.133168
foundation_policy_only,clean_deployment,depth_scale_error,drawer_handle_alignment,3,84,0.607143,0.218700,0.331594,0.227263,0.123835,0.125399,0.133602
foundation_policy_only,clean_deployment,depth_scale_error,drawer_handle_alignment,4,84,0.476190,0.219540,0.320230,0.227232,0.126086,0.127140,0.133844
foundation_policy_only,clean_deployment,depth_scale_error,drawer_handle_alignment,5,84,0.547619,0.220380,0.320872,0.227682,0.125148,0.126858,0.134278
foundation_policy_only,clean_deployment,depth_scale_error,drawer_handle_alignment,6,84,0.583333,0.221220,0.321514,0.228131,0.124925,0.126933,0.134713
foundation_policy_only,clean_deployment,depth_scale_error,cable_tip_alignment,0,84,0.559524,0.220580,0.327820,0.240324,0.122530,0.129635,0.132754
foundation_policy_only,clean_deployment,depth_scale_error,cable_tip_alignment,1,84,0.595238,0.221388,0.328438,0.240756,0.122288,0.121690,0.133171
foundation_policy_only,clean_deployment,depth_scale_error,cable_tip_alignment,2,84,0.607143,0.222196,0.329056,0.241189,0.122523,0.121987,0.133589
foundation_policy_only,clean_deployment,depth_scale_error,cable_tip_alignment,3,84,0.464286,0.223004,0.329674,0.241622,0.125852,0.123831,0.134007
foundation_policy_only,clean_deployment,depth_scale_error,cable_tip_alignment,4,84,0.630952,0.223812,0.330292,0.242054,0.122992,0.122580,0.134425
foundation_policy_only,clean_deployment,depth_scale_error,cable_tip_alignment,5,84,0.678571,0.224620,0.330910,0.242487,0.122512,0.122520,0.134843
foundation_policy_only,clean_deployment,depth_scale_error,cable_tip_alignment,6,84,0.619048,0.225428,0.331528,0.242920,0.124175,0.123532,0.135261
foundation_policy_only,clean_deployment,depth_scale_error,mobile_pick_reapproach,0,84,0.630952,0.222060,0.320776,0.222066,0.123186,0.125508,0.134665
foundation_policy_only,clean_deployment,depth_scale_error,mobile_pick_reapproach,1,84,0.619048,0.222892,0.321412,0.222511,0.123910,0.126056,0.135095
foundation_policy_only,clean_deployment,depth_scale_error,mobile_pick_reapproach,2,84,0.607143,0.223724,0.322048,0.222957,0.124635,0.126603,0.135525
foundation_policy_only,clean_deployment,depth_scale_error,mobile_pick_reapproach,3,84,0.666667,0.224556,0.322684,0.223402,0.123931,0.126435,0.135955
foundation_policy_only,clean_deployment,depth_scale_error,mobile_pick_reapproach,4,84,0.595238,0.225388,0.323320,0.223848,0.117842,0.127578,0.136386
foundation_policy_only,clean_deployment,depth_scale_error,mobile_pick_reapproach,5,84,0.619048,0.226220,0.323956,0.224293,0.117852,0.127768,0.136816
foundation_policy_only,clean_deployment,depth_scale_error,mobile_pick_reapproach,6,84,0.571429,0.227052,0.324592,0.224738,0.119290,0.128672,0.137246
foundation_policy_only,clean_deployment,occlusion_shift,eye_in_hand_peg_insert,0,84,0.595238,0.223993,0.328993,0.238507,0.126001,0.126678,0.137271
foundation_policy_only,clean_deployment,occlusion_shift,eye_in_hand_peg_insert,1,84,0.642857,0.224809,0.329617,0.238944,0.125526,0.126621,0.137693
foundation_policy_only,clean_deployment,occlusion_shift,eye_in_hand_peg_insert,2,84,0.607143,0.225625,0.330241,0.239381,0.118713,0.127399,0.138115
foundation_policy_only,clean_deployment,occlusion_shift,eye_in_hand_peg_insert,3,84,0.654762,0.226441,0.330865,0.231814,0.117918,0.127342,0.138537
foundation_policy_only,clean_deployment,occlusion_shift,eye_in_hand_peg_insert,4,84,0.559524,0.227257,0.331489,0.232251,0.120300,0.128715,0.138959
foundation_policy_only,clean_deployment,occlusion_shift,eye_in_hand_peg_insert,5,84,0.523810,0.228073,0.332113,0.232688,0.121491,0.129492,0.139381
foundation_policy_only,clean_deployment,occlusion_shift,eye_in_hand_peg_insert,6,84,0.595238,0.228889,0.332737,0.233125,0.120540,0.129198,0.131799
foundation_policy_only,clean_deployment,occlusion_shift,visual_grasp_centering,0,84,0.583333,0.220073,0.338587,0.206107,0.124007,0.125365,0.135640
foundation_policy_only,clean_deployment,occlusion_shift,visual_grasp_centering,1,84,0.666667,0.220889,0.327205,0.206064,0.121958,0.124951,0.135870
foundation_policy_only,clean_deployment,occlusion_shift,visual_grasp_centering,2,84,0.654762,0.221705,0.327829,0.206501,0.122673,0.125490,0.136292
foundation_policy_only,clean_deployment,occlusion_shift,visual_grasp_centering,3,84,0.654762,0.222521,0.328453,0.206938,0.123150,0.125910,0.136714
foundation_policy_only,clean_deployment,occlusion_shift,visual_grasp_centering,4,84,0.630952,0.223337,0.329077,0.207375,0.124103,0.126568,0.137136
foundation_policy_only,clean_deployment,occlusion_shift,visual_grasp_centering,5,84,0.690476,0.224153,0.329701,0.207812,0.123390,0.126393,0.137558
foundation_policy_only,clean_deployment,occlusion_shift,visual_grasp_centering,6,84,0.666667,0.224969,0.330325,0.208249,0.116339,0.127051,0.137980
foundation_policy_only,clean_deployment,occlusion_shift,drawer_handle_alignment,0,84,0.511905,0.214361,0.335071,0.227366,0.123696,0.123991,0.132984
foundation_policy_only,clean_deployment,occlusion_shift,drawer_handle_alignment,1,84,0.595238,0.215185,0.335701,0.227808,0.122511,0.123582,0.133410
foundation_policy_only,clean_deployment,occlusion_shift,drawer_handle_alignment,2,84,0.523810,0.216009,0.336331,0.228249,0.124421,0.124720,0.133836
foundation_policy_only,clean_deployment,occlusion_shift,drawer_handle_alignment,3,84,0.690476,0.216833,0.336961,0.228690,0.121569,0.123477,0.134262
foundation_policy_only,clean_deployment,occlusion_shift,drawer_handle_alignment,4,84,0.666667,0.217657,0.337591,0.229131,0.122527,0.124139,0.134688
foundation_policy_only,clean_deployment,occlusion_shift,drawer_handle_alignment,5,84,0.642857,0.218481,0.338221,0.229572,0.123485,0.124801,0.135114
foundation_policy_only,clean_deployment,occlusion_shift,drawer_handle_alignment,6,84,0.583333,0.219305,0.338851,0.230014,0.125157,0.125821,0.135540
foundation_policy_only,clean_deployment,occlusion_shift,cable_tip_alignment,0,84,0.488095,0.225625,0.338371,0.245414,0.127325,0.124713,0.136953
foundation_policy_only,clean_deployment,occlusion_shift,cable_tip_alignment,1,84,0.571429,0.226417,0.338977,0.245839,0.126121,0.124288,0.137362
foundation_policy_only,clean_deployment,occlusion_shift,cable_tip_alignment,2,84,0.559524,0.227209,0.327577,0.245783,0.125963,0.124815,0.137580
foundation_policy_only,clean_deployment,occlusion_shift,cable_tip_alignment,3,84,0.523810,0.228001,0.328183,0.246207,0.127141,0.125580,0.137990
foundation_policy_only,clean_deployment,occlusion_shift,cable_tip_alignment,4,84,0.535714,0.228793,0.328789,0.238627,0.127046,0.125869,0.138399
foundation_policy_only,clean_deployment,occlusion_shift,cable_tip_alignment,5,84,0.595238,0.213577,0.329395,0.239051,0.126319,0.125682,0.138809
foundation_policy_only,clean_deployment,occlusion_shift,cable_tip_alignment,6,84,0.559524,0.214369,0.330001,0.239476,0.119493,0.126447,0.139219
foundation_policy_only,clean_deployment,occlusion_shift,mobile_pick_reapproach,0,84,0.726190,0.221969,0.327475,0.224435,0.121701,0.124356,0.136234
foundation_policy_only,clean_deployment,occlusion_shift,mobile_pick_reapproach,1,84,0.642857,0.222785,0.328099,0.224872,0.123845,0.125609,0.136656
foundation_policy_only,clean_deployment,occlusion_shift,mobile_pick_reapproach,2,84,0.607143,0.223601,0.328723,0.225309,0.125036,0.126387,0.137078
foundation_policy_only,clean_deployment,occlusion_shift,mobile_pick_reapproach,3,84,0.642857,0.224417,0.329347,0.225745,0.124799,0.126449,0.137500
foundation_policy_only,clean_deployment,occlusion_shift,mobile_pick_reapproach,4,84,0.595238,0.225233,0.329971,0.226182,0.126228,0.127346,0.137922
foundation_policy_only,clean_deployment,occlusion_shift,mobile_pick_reapproach,5,84,0.559524,0.226049,0.330595,0.218615,0.119096,0.128123,0.138344
foundation_policy_only,clean_deployment,occlusion_shift,mobile_pick_reapproach,6,84,0.595238,0.226865,0.331219,0.219052,0.118859,0.128186,0.138766
foundation_policy_only,clean_deployment,jacobian_mismatch,eye_in_hand_peg_insert,0,84,0.595238,0.220994,0.336828,0.240848,0.119551,0.129028,0.138679
foundation_policy_only,clean_deployment,jacobian_mismatch,eye_in_hand_peg_insert,1,84,0.547619,0.221826,0.337464,0.241294,0.120990,0.129932,0.139109
foundation_policy_only,clean_deployment,jacobian_mismatch,eye_in_hand_peg_insert,2,84,0.607143,0.222658,0.338100,0.233735,0.119966,0.129765,0.139539
foundation_policy_only,clean_deployment,jacobian_mismatch,eye_in_hand_peg_insert,3,84,0.690476,0.223490,0.338736,0.234181,0.118785,0.129359,0.139969
foundation_policy_only,clean_deployment,jacobian_mismatch,eye_in_hand_peg_insert,4,84,0.559524,0.224322,0.339372,0.234626,0.121891,0.131097,0.140400
foundation_policy_only,clean_deployment,jacobian_mismatch,eye_in_hand_peg_insert,5,84,0.583333,0.225154,0.340008,0.235072,0.121901,0.123283,0.132826
foundation_policy_only,clean_deployment,jacobian_mismatch,eye_in_hand_peg_insert,6,84,0.607143,0.225986,0.340644,0.235517,0.121911,0.123473,0.133256
foundation_policy_only,clean_deployment,jacobian_mismatch,visual_grasp_centering,0,84,0.583333,0.217778,0.334944,0.208341,0.125105,0.128067,0.137217
foundation_policy_only,clean_deployment,jacobian_mismatch,visual_grasp_centering,1,84,0.630952,0.218610,0.335580,0.208786,0.124639,0.128018,0.137647
foundation_policy_only,clean_deployment,jacobian_mismatch,visual_grasp_centering,2,84,0.654762,0.219442,0.336216,0.209232,0.124649,0.128208,0.138077
