method,stress_level,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
cbf_safety_shield,0.600000,7,0.533971,0.008836,0.447867,0.012228,0.537705,0.002256,0.167270,0.002511,0.141674,0.004175,0.054434,0.001080,0.267936,0.000776,0.079053,0.000759,0.076823,0.000756,0.164575,0.002451,0.157259,0.002280,50
cbf_safety_shield,0.600000,8,0.535519,0.009001,0.450593,0.012210,0.539495,0.002211,0.166862,0.002483,0.140904,0.003723,0.054293,0.001025,0.268339,0.000678,0.078898,0.000732,0.076459,0.000822,0.164048,0.002415,0.156784,0.002172,50
cbf_safety_shield,0.600000,9,0.536456,0.009705,0.451369,0.012902,0.538644,0.002248,0.166922,0.002285,0.140635,0.003794,0.054425,0.001046,0.267818,0.000880,0.078533,0.000839,0.076889,0.000672,0.164134,0.002332,0.156765,0.002141,50
cbf_safety_shield,0.740000,0,0.508267,0.010132,0.406853,0.013650,0.528751,0.002471,0.178143,0.002607,0.148182,0.003861,0.055820,0.001224,0.271442,0.000833,0.082372,0.000759,0.079809,0.000882,0.174524,0.002554,0.165311,0.002300,50
cbf_safety_shield,0.740000,1,0.508463,0.010056,0.407433,0.013576,0.528756,0.002122,0.177521,0.002613,0.147814,0.004119,0.056288,0.001082,0.271124,0.000815,0.082329,0.000800,0.080005,0.000881,0.174083,0.002645,0.165195,0.002335,50
cbf_safety_shield,0.740000,2,0.508598,0.009784,0.407136,0.012998,0.528562,0.002341,0.178254,0.002269,0.147545,0.003960,0.055924,0.001158,0.271061,0.000765,0.082789,0.000753,0.079845,0.000911,0.174703,0.002379,0.165360,0.002091,50
cbf_safety_shield,0.740000,3,0.509749,0.009782,0.408628,0.013390,0.528291,0.002347,0.176933,0.002489,0.147913,0.004020,0.056781,0.001214,0.271298,0.000858,0.082623,0.000898,0.079659,0.000905,0.174506,0.002627,0.165274,0.002369,50
cbf_safety_shield,0.740000,4,0.509305,0.009774,0.408052,0.013174,0.529002,0.002369,0.177937,0.002466,0.148333,0.003927,0.055996,0.001220,0.270817,0.000838,0.082689,0.000857,0.079673,0.000860,0.174505,0.002531,0.165404,0.002338,50
cbf_safety_shield,0.740000,5,0.508179,0.010152,0.407300,0.013543,0.529342,0.002465,0.177858,0.002351,0.147468,0.003803,0.056241,0.001275,0.270873,0.000818,0.082236,0.000691,0.079861,0.000827,0.174620,0.002493,0.165237,0.002254,50
cbf_safety_shield,0.740000,6,0.510367,0.009585,0.409431,0.013048,0.529053,0.002495,0.177864,0.002594,0.147466,0.003832,0.055749,0.001022,0.271758,0.000741,0.082336,0.000732,0.080046,0.000897,0.174230,0.002514,0.164972,0.002234,50
cbf_safety_shield,0.740000,7,0.507237,0.009557,0.405109,0.013256,0.528100,0.002421,0.178242,0.002710,0.148626,0.004195,0.056251,0.001181,0.271374,0.000794,0.082721,0.000772,0.079823,0.000823,0.174918,0.002610,0.165769,0.002432,50
cbf_safety_shield,0.740000,8,0.508785,0.009702,0.407836,0.013233,0.529890,0.002376,0.177833,0.002685,0.147855,0.003745,0.056110,0.001122,0.271776,0.000702,0.082567,0.000747,0.079460,0.000889,0.174391,0.002583,0.165294,0.002328,50
cbf_safety_shield,0.740000,9,0.509722,0.010397,0.408612,0.013904,0.529040,0.002414,0.177893,0.002491,0.147586,0.003816,0.056242,0.001135,0.271256,0.000903,0.082202,0.000856,0.079889,0.000731,0.174477,0.002495,0.165274,0.002295,50
classical_ibvs_only,0.000000,0,0.537158,0.006542,0.494309,0.008330,0.500389,0.001610,0.123858,0.001461,0.126217,0.003656,0.063138,0.000648,0.156205,0.000771,0.085415,0.000643,0.023560,0.000530,0.127826,0.001484,0.139214,0.001466,50
classical_ibvs_only,0.000000,1,0.535276,0.007382,0.492756,0.009271,0.499259,0.001505,0.122761,0.001496,0.126405,0.003766,0.063217,0.000694,0.156186,0.000623,0.085327,0.000768,0.024062,0.000525,0.127593,0.001589,0.138759,0.001575,50
classical_ibvs_only,0.000000,2,0.535306,0.007032,0.492758,0.008902,0.499687,0.001401,0.123237,0.001425,0.125868,0.003823,0.062943,0.000714,0.156590,0.000817,0.085399,0.000842,0.024337,0.000511,0.127767,0.001573,0.138723,0.001532,50
classical_ibvs_only,0.000000,3,0.536138,0.007471,0.494290,0.009422,0.500439,0.001668,0.123320,0.001466,0.125570,0.003750,0.062293,0.000633,0.155978,0.000779,0.085550,0.000802,0.024360,0.000474,0.127082,0.001530,0.138348,0.001434,50
classical_ibvs_only,0.000000,4,0.533248,0.006847,0.491036,0.008738,0.500473,0.001691,0.123258,0.001422,0.125339,0.003845,0.063427,0.000725,0.155832,0.000734,0.085262,0.000739,0.024255,0.000528,0.127652,0.001646,0.138874,0.001551,50
classical_ibvs_only,0.000000,5,0.535309,0.006946,0.493475,0.009009,0.500618,0.001516,0.122975,0.001489,0.125446,0.003792,0.062935,0.000716,0.156151,0.000736,0.085575,0.000789,0.023727,0.000546,0.127167,0.001594,0.138532,0.001523,50
classical_ibvs_only,0.000000,6,0.534439,0.006730,0.492383,0.008812,0.500732,0.001668,0.123267,0.001554,0.125878,0.003789,0.062445,0.000657,0.156380,0.000679,0.086045,0.000799,0.024065,0.000485,0.127445,0.001452,0.138567,0.001500,50
classical_ibvs_only,0.000000,7,0.534626,0.007019,0.492986,0.009135,0.500312,0.001586,0.122673,0.001534,0.126168,0.003867,0.062411,0.000775,0.155937,0.000796,0.085635,0.000773,0.024107,0.000527,0.127215,0.001693,0.138253,0.001634,50
classical_ibvs_only,0.000000,8,0.534659,0.007211,0.492816,0.009288,0.500919,0.001552,0.123381,0.001508,0.125474,0.003825,0.062637,0.000747,0.155972,0.000783,0.085556,0.000801,0.023710,0.000421,0.127206,0.001641,0.138556,0.001635,50
classical_ibvs_only,0.000000,9,0.537140,0.007002,0.494756,0.008952,0.500361,0.001820,0.123230,0.001563,0.125939,0.003856,0.063028,0.000685,0.156534,0.000811,0.085525,0.000678,0.024105,0.000517,0.127811,0.001585,0.138808,0.001493,50
classical_ibvs_only,0.180000,0,0.505813,0.006856,0.442910,0.008923,0.488041,0.001787,0.137412,0.001635,0.135134,0.003682,0.065387,0.000703,0.160582,0.000787,0.090122,0.000652,0.026119,0.000598,0.139013,0.001620,0.149834,0.001590,50
classical_ibvs_only,0.180000,1,0.503932,0.007727,0.441358,0.009888,0.486910,0.001665,0.136315,0.001679,0.135322,0.003788,0.065466,0.000773,0.160563,0.000641,0.090035,0.000785,0.026620,0.000576,0.138780,0.001723,0.149379,0.001705,50
classical_ibvs_only,0.180000,2,0.503962,0.007407,0.441359,0.009574,0.487338,0.001550,0.136792,0.001627,0.134784,0.003847,0.065192,0.000802,0.160967,0.000839,0.090106,0.000862,0.026895,0.000573,0.138954,0.001722,0.149343,0.001679,50
classical_ibvs_only,0.180000,3,0.504794,0.007830,0.442891,0.010063,0.488091,0.001816,0.136874,0.001659,0.134487,0.003773,0.064542,0.000726,0.160355,0.000799,0.090257,0.000819,0.026919,0.000531,0.138269,0.001677,0.148967,0.001584,50
classical_ibvs_only,0.180000,4,0.501904,0.007152,0.439637,0.009312,0.488124,0.001824,0.136813,0.001613,0.134256,0.003866,0.065677,0.000798,0.160209,0.000755,0.089969,0.000754,0.026813,0.000578,0.138838,0.001770,0.149493,0.001680,50
classical_ibvs_only,0.180000,5,0.503965,0.007343,0.442077,0.009679,0.488269,0.001678,0.136530,0.001666,0.134363,0.003814,0.065184,0.000804,0.160528,0.000757,0.090282,0.000801,0.026285,0.000593,0.138354,0.001730,0.149151,0.001656,50
classical_ibvs_only,0.180000,6,0.503095,0.007086,0.440985,0.009459,0.488383,0.001828,0.136822,0.001763,0.134795,0.003812,0.064694,0.000743,0.160757,0.000700,0.090752,0.000814,0.026624,0.000529,0.138632,0.001600,0.149187,0.001651,50
classical_ibvs_only,0.180000,7,0.503281,0.007383,0.441588,0.009771,0.487964,0.001740,0.136228,0.001715,0.135084,0.003890,0.064660,0.000854,0.160314,0.000810,0.090342,0.000794,0.026666,0.000582,0.138402,0.001838,0.148873,0.001765,50
classical_ibvs_only,0.180000,8,0.503315,0.007572,0.441418,0.009933,0.488570,0.001688,0.136936,0.001734,0.134391,0.003846,0.064886,0.000837,0.160349,0.000791,0.090263,0.000814,0.026268,0.000478,0.138393,0.001795,0.149176,0.001785,50
classical_ibvs_only,0.180000,9,0.505795,0.007402,0.443357,0.009663,0.488013,0.001995,0.136785,0.001758,0.134855,0.003882,0.065278,0.000749,0.160911,0.000833,0.090232,0.000691,0.026664,0.000564,0.138998,0.001726,0.149428,0.001637,50
classical_ibvs_only,0.320000,0,0.480558,0.007207,0.402047,0.009532,0.478436,0.001938,0.147955,0.001791,0.142069,0.003703,0.067152,0.000764,0.163999,0.000801,0.093784,0.000661,0.028109,0.000656,0.147723,0.001744,0.158103,0.001705,50
classical_ibvs_only,0.320000,1,0.478677,0.008094,0.400494,0.010507,0.477306,0.001806,0.146858,0.001842,0.142257,0.003807,0.067231,0.000848,0.163980,0.000657,0.093696,0.000800,0.028610,0.000624,0.147490,0.001844,0.157647,0.001823,50
classical_ibvs_only,0.320000,2,0.478707,0.007802,0.400496,0.010237,0.477734,0.001685,0.147334,0.001801,0.141720,0.003867,0.066957,0.000882,0.164383,0.000857,0.093767,0.000879,0.028886,0.000627,0.147664,0.001853,0.157612,0.001808,50
classical_ibvs_only,0.320000,3,0.479538,0.008208,0.402028,0.010696,0.478486,0.001948,0.147417,0.001828,0.141422,0.003793,0.066307,0.000811,0.163772,0.000816,0.093918,0.000834,0.028909,0.000583,0.146979,0.001808,0.157236,0.001717,50
classical_ibvs_only,0.320000,4,0.476648,0.007492,0.398774,0.009903,0.478520,0.001946,0.147356,0.001782,0.141191,0.003883,0.067442,0.000869,0.163626,0.000774,0.093631,0.000768,0.028803,0.000625,0.147548,0.001883,0.157762,0.001797,50
classical_ibvs_only,0.320000,5,0.478709,0.007752,0.401213,0.010336,0.478665,0.001821,0.147072,0.001824,0.141298,0.003833,0.066949,0.000884,0.163945,0.000776,0.093943,0.000811,0.028275,0.000637,0.147064,0.001854,0.157420,0.001777,50
classical_ibvs_only,0.320000,6,0.477840,0.007466,0.400121,0.010103,0.478779,0.001968,0.147364,0.001941,0.141730,0.003830,0.066459,0.000823,0.164173,0.000718,0.094413,0.000826,0.028614,0.000573,0.147342,0.001732,0.157456,0.001783,50
classical_ibvs_only,0.320000,7,0.478026,0.007769,0.400725,0.010404,0.478359,0.001876,0.146771,0.001876,0.142020,0.003908,0.066425,0.000928,0.163730,0.000824,0.094003,0.000811,0.028656,0.000632,0.147112,0.001965,0.157142,0.001884,50
classical_ibvs_only,0.320000,8,0.478060,0.007954,0.400554,0.010572,0.478966,0.001814,0.147478,0.001923,0.141326,0.003863,0.066651,0.000919,0.163765,0.000799,0.093924,0.000826,0.028258,0.000530,0.147103,0.001930,0.157445,0.001915,50
classical_ibvs_only,0.320000,9,0.480540,0.007815,0.402494,0.010352,0.478408,0.002144,0.147327,0.001926,0.141791,0.003902,0.067043,0.000815,0.164327,0.000852,0.093894,0.000702,0.028654,0.000609,0.147708,0.001852,0.157696,0.001765,50
classical_ibvs_only,0.460000,0,0.454536,0.007662,0.360407,0.010273,0.468832,0.002098,0.158498,0.001962,0.149004,0.003726,0.068931,0.000837,0.167426,0.000817,0.097445,0.000671,0.030099,0.000717,0.156441,0.001880,0.166380,0.001833,50
classical_ibvs_only,0.460000,1,0.452655,0.008559,0.358855,0.011249,0.467701,0.001958,0.157401,0.002017,0.149192,0.003826,0.069010,0.000932,0.167407,0.000676,0.097357,0.000815,0.030600,0.000677,0.156208,0.001978,0.165924,0.001954,50
classical_ibvs_only,0.460000,2,0.452685,0.008297,0.358856,0.011022,0.468129,0.001834,0.157877,0.001987,0.148655,0.003888,0.068736,0.000971,0.167811,0.000877,0.097429,0.000897,0.030876,0.000685,0.156382,0.001995,0.165889,0.001949,50
classical_ibvs_only,0.460000,3,0.453516,0.008683,0.360388,0.011451,0.468882,0.002092,0.157960,0.002009,0.148357,0.003813,0.068086,0.000903,0.167199,0.000834,0.097579,0.000851,0.030899,0.000639,0.155697,0.001950,0.165513,0.001860,50
classical_ibvs_only,0.460000,4,0.450626,0.007933,0.357134,0.010623,0.468915,0.002081,0.157898,0.001962,0.148126,0.003902,0.069220,0.000950,0.167053,0.000795,0.097292,0.000783,0.030793,0.000677,0.156266,0.002010,0.166039,0.001927,50
classical_ibvs_only,0.460000,5,0.452687,0.008260,0.359574,0.011115,0.469060,0.001975,0.157615,0.001997,0.148233,0.003852,0.068728,0.000973,0.167372,0.000796,0.097605,0.000823,0.030265,0.000687,0.155782,0.001989,0.165697,0.001910,50
classical_ibvs_only,0.460000,6,0.451818,0.007948,0.358482,0.010872,0.469174,0.002119,0.157907,0.002129,0.148665,0.003850,0.068238,0.000912,0.167601,0.000738,0.098075,0.000840,0.030604,0.000622,0.156060,0.001876,0.165733,0.001926,50
classical_ibvs_only,0.460000,7,0.452004,0.008256,0.359085,0.011161,0.468755,0.002024,0.157313,0.002050,0.148955,0.003928,0.068204,0.001011,0.167158,0.000839,0.097664,0.000829,0.030646,0.000686,0.155830,0.002104,0.165419,0.002015,50
classical_ibvs_only,0.460000,8,0.452037,0.008434,0.358915,0.011334,0.469361,0.001953,0.158021,0.002119,0.148261,0.003882,0.068429,0.001008,0.167193,0.000809,0.097585,0.000838,0.030249,0.000588,0.155821,0.002075,0.165722,0.002056,50
classical_ibvs_only,0.460000,9,0.454518,0.008327,0.360854,0.011160,0.468804,0.002302,0.157870,0.002106,0.148726,0.003924,0.068821,0.000892,0.167755,0.000873,0.097555,0.000715,0.030644,0.000660,0.156426,0.001989,0.165973,0.001904,50
classical_ibvs_only,0.600000,0,0.427747,0.008229,0.317992,0.011146,0.459227,0.002266,0.169040,0.002144,0.155939,0.003749,0.070724,0.000920,0.170864,0.000834,0.101106,0.000683,0.032089,0.000781,0.165167,0.002027,0.174665,0.001973,50
classical_ibvs_only,0.600000,1,0.425866,0.009129,0.316439,0.012116,0.458097,0.002119,0.167943,0.002202,0.156127,0.003846,0.070802,0.001024,0.170845,0.000697,0.101018,0.000832,0.032590,0.000733,0.164934,0.002123,0.174209,0.002095,50
classical_ibvs_only,0.600000,2,0.425896,0.008897,0.316441,0.011931,0.458525,0.001992,0.168420,0.002181,0.155590,0.003910,0.070528,0.001066,0.171249,0.000899,0.101090,0.000915,0.032866,0.000746,0.165108,0.002147,0.174174,0.002098,50
classical_ibvs_only,0.600000,3,0.426727,0.009260,0.317973,0.012328,0.459277,0.002246,0.168502,0.002198,0.155292,0.003834,0.069878,0.001002,0.170637,0.000854,0.101241,0.000867,0.032889,0.000698,0.164423,0.002102,0.173798,0.002012,50
classical_ibvs_only,0.600000,4,0.423837,0.008484,0.314719,0.011473,0.459311,0.002227,0.168441,0.002152,0.155061,0.003921,0.071013,0.001039,0.170491,0.000817,0.100953,0.000799,0.032783,0.000733,0.164992,0.002148,0.174324,0.002068,50
