cell_id,ablation,note,task,regime,split,seed,success_rate,utility,override_precision,unsafe_action_rate,tracking_error,damage_rate,latency_cost,calibration_error,abstention_rate,predicted_risk,realized_risk
12,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_object,1,0.830568,0.977436,0.743321,0.043038,0.066885,0.015142,0.185997,0.025676,0.067502,0.076789,0.048777
13,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_object,2,0.829914,0.979451,0.748103,0.045453,0.063157,0.013692,0.182660,0.024393,0.066557,0.077290,0.048044
14,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_object,3,0.825126,0.967969,0.742733,0.048468,0.069371,0.016519,0.186560,0.019414,0.063922,0.078056,0.051602
15,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_object,4,0.817738,0.964242,0.749987,0.046763,0.066086,0.016211,0.186688,0.023835,0.064927,0.080146,0.050678
16,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_object,5,0.828346,0.972576,0.745049,0.047948,0.067716,0.015151,0.185003,0.024644,0.064185,0.077896,0.051136
17,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_object,6,0.825580,0.975521,0.751787,0.041988,0.068685,0.017632,0.188282,0.018919,0.066635,0.076999,0.048897
18,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_object,7,0.828038,0.977262,0.750695,0.043078,0.061834,0.017577,0.189095,0.025050,0.064165,0.076557,0.048985
19,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_object,8,0.828334,0.979001,0.749807,0.040943,0.067881,0.016781,0.184639,0.022582,0.064815,0.075514,0.048384
20,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_object,9,0.833810,0.985720,0.746063,0.038808,0.062700,0.016079,0.189046,0.022579,0.064815,0.071792,0.045812
21,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_camera,0,0.825900,0.964669,0.747837,0.052891,0.067907,0.018181,0.190388,0.023979,0.067585,0.086015,0.055189
22,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_camera,1,0.798012,0.933768,0.739485,0.053041,0.071933,0.015606,0.186466,0.027657,0.070518,0.084087,0.055315
23,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_camera,2,0.806178,0.948568,0.737793,0.043531,0.066508,0.019533,0.185544,0.025889,0.069090,0.083058,0.051516
24,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_camera,3,0.802850,0.945116,0.739629,0.048306,0.065437,0.015002,0.187193,0.024271,0.067903,0.079920,0.050653
25,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_camera,4,0.803516,0.939218,0.740253,0.053106,0.068940,0.018293,0.190225,0.023433,0.070018,0.084286,0.055486
26,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_camera,5,0.812370,0.956359,0.737547,0.043441,0.070800,0.015332,0.187504,0.021723,0.068650,0.081139,0.049231
27,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_camera,6,0.823088,0.962081,0.739737,0.047171,0.072726,0.019460,0.190424,0.021080,0.066418,0.082330,0.053723
28,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_camera,7,0.805180,0.949059,0.738069,0.043536,0.068836,0.016460,0.187927,0.021721,0.070265,0.077733,0.049498
29,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_camera,8,0.815900,0.951895,0.739635,0.049246,0.072821,0.020329,0.187385,0.026839,0.069333,0.085737,0.056281
30,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,heldout_camera,9,0.819874,0.960220,0.747543,0.052836,0.065753,0.017064,0.185621,0.026123,0.067370,0.085409,0.054427
31,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,combined_stress,0,0.796911,0.924395,0.730863,0.057001,0.078739,0.016337,0.189134,0.025218,0.073460,0.093318,0.058698
32,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,combined_stress,1,0.786367,0.916423,0.736827,0.053746,0.075115,0.019539,0.191574,0.027907,0.074805,0.091056,0.058679
33,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,combined_stress,2,0.805473,0.926073,0.732957,0.061881,0.080964,0.018756,0.194534,0.029943,0.071620,0.099863,0.063783
34,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,combined_stress,3,0.799571,0.928398,0.736821,0.057906,0.077837,0.014988,0.192870,0.026028,0.073872,0.093214,0.058297
35,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,combined_stress,4,0.786521,0.912816,0.729819,0.058131,0.074862,0.016073,0.192507,0.027012,0.075377,0.094590,0.058557
36,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,combined_stress,5,0.802863,0.934179,0.739011,0.053586,0.078645,0.018891,0.188908,0.026122,0.073325,0.093896,0.058682
37,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,combined_stress,6,0.793547,0.921440,0.730959,0.052961,0.076461,0.017602,0.194305,0.031749,0.073320,0.093027,0.058166
38,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,combined_stress,7,0.789717,0.918718,0.737067,0.056361,0.080414,0.016036,0.192970,0.025714,0.071245,0.094358,0.058674
39,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,combined_stress,8,0.787763,0.918326,0.731403,0.053266,0.074049,0.016999,0.188590,0.029865,0.070645,0.091734,0.057093
40,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,occlusion_shift,combined_stress,9,0.793087,0.918618,0.732567,0.060526,0.075257,0.015904,0.191155,0.027700,0.075532,0.092412,0.059819
41,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,clean_deployment,0,0.823885,0.978493,0.751548,0.039469,0.065999,0.013095,0.187121,0.022216,0.061102,0.073714,0.045059
42,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,clean_deployment,1,0.809463,0.967183,0.751380,0.036364,0.065433,0.013973,0.183914,0.019045,0.064989,0.072219,0.043382
43,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,clean_deployment,2,0.834457,0.990805,0.751890,0.041139,0.062242,0.009230,0.184960,0.024552,0.062339,0.070446,0.043213
44,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,clean_deployment,3,0.822369,0.973858,0.745938,0.041369,0.062943,0.014603,0.185277,0.023156,0.061454,0.072267,0.046342
45,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,clean_deployment,4,0.807697,0.967227,0.751290,0.033719,0.066772,0.011654,0.185626,0.021951,0.063452,0.070474,0.041586
46,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,clean_deployment,5,0.827735,0.990633,0.753930,0.033219,0.065789,0.009266,0.185373,0.019993,0.062399,0.066877,0.039392
47,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,clean_deployment,6,0.815283,0.972807,0.755934,0.039469,0.062423,0.010363,0.188526,0.024512,0.063867,0.068728,0.043101
48,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,clean_deployment,7,0.834425,0.989696,0.754476,0.041419,0.062017,0.013802,0.183491,0.023010,0.063974,0.073177,0.045672
49,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,clean_deployment,8,0.828841,0.987411,0.757344,0.039404,0.061556,0.012650,0.187423,0.019099,0.064767,0.068614,0.043231
50,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,clean_deployment,9,0.824921,0.983972,0.750432,0.032154,0.065809,0.013091,0.188394,0.022822,0.065212,0.067069,0.041613
51,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_object,0,0.827645,0.975465,0.748804,0.043369,0.071313,0.012944,0.188600,0.026827,0.063725,0.076557,0.048842
52,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_object,1,0.824153,0.973728,0.741922,0.041584,0.067690,0.011474,0.188355,0.022087,0.066907,0.076005,0.045483
53,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_object,2,0.821779,0.969435,0.749734,0.045929,0.066779,0.014587,0.187429,0.023468,0.064417,0.080866,0.049422
54,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_object,3,0.805167,0.958438,0.742894,0.038374,0.063824,0.010272,0.187337,0.026671,0.063927,0.071416,0.043219
55,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_object,4,0.822999,0.970109,0.741352,0.039229,0.069880,0.015394,0.190548,0.026606,0.064242,0.075623,0.047921
56,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_object,5,0.823127,0.971259,0.747712,0.044284,0.067788,0.015501,0.186217,0.020782,0.067472,0.079439,0.048901
57,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_object,6,0.805659,0.956913,0.742240,0.037529,0.065931,0.014058,0.190438,0.023201,0.065162,0.075139,0.044848
58,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_object,7,0.812281,0.968163,0.750874,0.037699,0.065198,0.011661,0.185410,0.026274,0.063530,0.074234,0.043931
59,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_object,8,0.835127,0.983368,0.745108,0.041879,0.067073,0.014554,0.189182,0.025267,0.064282,0.076566,0.047847
60,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_object,9,0.824657,0.976514,0.749782,0.040544,0.071094,0.013434,0.186430,0.020655,0.065532,0.076688,0.046611
61,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_camera,0,0.825635,0.971907,0.744992,0.043633,0.072047,0.010739,0.189814,0.029154,0.066993,0.080199,0.048271
62,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_camera,1,0.803069,0.943511,0.743048,0.047693,0.071530,0.016037,0.188933,0.027603,0.068700,0.082990,0.052899
63,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_camera,2,0.807665,0.944853,0.740120,0.051803,0.071830,0.013357,0.189891,0.029312,0.067460,0.085832,0.053691
64,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_camera,3,0.813095,0.958226,0.745256,0.045693,0.069318,0.012725,0.190771,0.025905,0.067435,0.079234,0.049226
65,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_camera,4,0.814827,0.958133,0.740672,0.042498,0.073004,0.015136,0.188310,0.029039,0.068840,0.080331,0.050466
66,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_camera,5,0.789289,0.926731,0.737000,0.050288,0.071924,0.012700,0.191065,0.029260,0.065780,0.084753,0.052594
67,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_camera,6,0.797235,0.935395,0.741284,0.050393,0.068452,0.017397,0.190583,0.026032,0.066813,0.087457,0.054024
68,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_camera,7,0.812559,0.956186,0.743630,0.046153,0.071771,0.014627,0.189263,0.022651,0.067725,0.082262,0.050504
69,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_camera,8,0.801825,0.938722,0.741092,0.051493,0.075706,0.013472,0.188849,0.028302,0.070060,0.085441,0.054280
70,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,heldout_camera,9,0.803853,0.945777,0.738944,0.045563,0.075621,0.011295,0.189881,0.026834,0.068945,0.080794,0.049887
71,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,combined_stress,0,0.785137,0.912874,0.737780,0.056872,0.081898,0.014559,0.192736,0.032171,0.070870,0.096496,0.059551
72,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,combined_stress,1,0.782741,0.902926,0.732104,0.060062,0.082867,0.018813,0.194492,0.033471,0.072800,0.100693,0.063997
73,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,combined_stress,2,0.795983,0.925103,0.729770,0.055017,0.077491,0.012393,0.191416,0.030797,0.074550,0.093541,0.056188
74,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,combined_stress,3,0.801965,0.931226,0.734924,0.052877,0.078782,0.016853,0.192812,0.032116,0.073185,0.092966,0.058269
75,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,combined_stress,4,0.799941,0.931993,0.733940,0.053257,0.077520,0.012585,0.190779,0.030758,0.071502,0.091654,0.055454
76,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,combined_stress,5,0.786851,0.919271,0.736214,0.052702,0.077107,0.013979,0.196342,0.026674,0.072732,0.092700,0.055170
77,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,combined_stress,6,0.810939,0.938616,0.737570,0.056417,0.082208,0.016681,0.189831,0.030591,0.072465,0.095158,0.060347
78,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,combined_stress,7,0.782531,0.913430,0.737684,0.051937,0.081514,0.013427,0.196304,0.032982,0.074960,0.093344,0.056587
79,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,combined_stress,8,0.785781,0.914961,0.728684,0.052687,0.076111,0.014150,0.194117,0.032120,0.073047,0.091100,0.056023
80,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,jacobian_mismatch,combined_stress,9,0.785301,0.916916,0.735626,0.055302,0.076890,0.011317,0.191296,0.030862,0.074912,0.090430,0.055579
81,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,clean_deployment,0,0.825203,0.969447,0.743016,0.048072,0.067907,0.012509,0.188263,0.024204,0.063802,0.079551,0.049626
82,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,clean_deployment,1,0.811161,0.962461,0.747612,0.040992,0.064070,0.015570,0.188698,0.019624,0.067817,0.073254,0.046334
83,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,clean_deployment,2,0.824417,0.973738,0.742488,0.040747,0.068320,0.013325,0.189776,0.020379,0.067795,0.075993,0.045986
84,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,clean_deployment,3,0.820915,0.973178,0.746262,0.040087,0.064359,0.012603,0.189639,0.022331,0.065672,0.073941,0.044730
85,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,clean_deployment,4,0.824095,0.974512,0.748410,0.039682,0.066684,0.018172,0.183900,0.024872,0.063470,0.076930,0.048734
86,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,clean_deployment,5,0.825533,0.975350,0.744228,0.040527,0.065748,0.016462,0.186372,0.020753,0.066762,0.075730,0.047201
87,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,clean_deployment,6,0.830589,0.976074,0.746952,0.047432,0.067826,0.016286,0.183817,0.021196,0.067800,0.080694,0.050950
88,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,clean_deployment,7,0.816455,0.963540,0.740964,0.042767,0.064825,0.016182,0.187385,0.021728,0.065625,0.076726,0.048086
89,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,clean_deployment,8,0.815181,0.967528,0.739572,0.039437,0.062799,0.012869,0.183479,0.020979,0.065297,0.070547,0.043986
90,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,clean_deployment,9,0.822901,0.974734,0.739194,0.038562,0.064961,0.013833,0.183196,0.021106,0.064502,0.072239,0.044624
91,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_object,0,0.817241,0.958660,0.739504,0.046731,0.069366,0.015762,0.187534,0.025571,0.069470,0.080670,0.051437
92,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_object,1,0.811955,0.955840,0.736270,0.046231,0.067035,0.013019,0.185609,0.023381,0.066043,0.079846,0.048699
93,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_object,2,0.825089,0.963078,0.737296,0.049341,0.072661,0.016740,0.189087,0.022181,0.066485,0.086036,0.053371
94,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_object,3,0.827699,0.970549,0.735040,0.044916,0.072037,0.013192,0.186754,0.022311,0.068168,0.080155,0.049076
95,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_object,4,0.816007,0.956056,0.736330,0.046106,0.069399,0.017035,0.188069,0.026067,0.067088,0.083928,0.051971
96,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_object,5,0.807081,0.950911,0.739456,0.045416,0.068852,0.013508,0.191484,0.022082,0.067960,0.077466,0.048757
97,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_object,6,0.812149,0.952156,0.736972,0.045601,0.067271,0.017493,0.190755,0.027388,0.069363,0.083809,0.051764
98,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_object,7,0.809297,0.950312,0.738220,0.049586,0.069467,0.012775,0.185846,0.025258,0.066010,0.083598,0.051040
99,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_object,8,0.818299,0.957887,0.742510,0.052961,0.068579,0.012917,0.191485,0.022382,0.068108,0.080739,0.052030
100,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_object,9,0.829379,0.968348,0.735790,0.048381,0.068801,0.017103,0.186279,0.024127,0.069895,0.083411,0.052622
101,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_camera,0,0.805951,0.935124,0.731324,0.055010,0.073493,0.017582,0.190470,0.027927,0.070866,0.090235,0.057798
102,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_camera,1,0.795355,0.924623,0.731408,0.053290,0.074567,0.019742,0.191126,0.026594,0.070376,0.091585,0.058221
103,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_camera,2,0.813123,0.945489,0.731648,0.049215,0.074885,0.017928,0.192733,0.029338,0.068276,0.090170,0.055777
104,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_camera,3,0.789377,0.919772,0.735830,0.057195,0.075896,0.014995,0.188988,0.026465,0.071086,0.091191,0.057612
105,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_camera,4,0.793677,0.927528,0.734312,0.050965,0.073143,0.016493,0.190352,0.027455,0.073076,0.086668,0.055063
106,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_camera,5,0.815335,0.947826,0.728432,0.048790,0.072672,0.018453,0.191830,0.027675,0.068641,0.089009,0.055091
107,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_camera,6,0.812287,0.947284,0.738350,0.052780,0.076532,0.013617,0.187582,0.027411,0.072996,0.086093,0.055003
108,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_camera,7,0.816227,0.948229,0.738254,0.052680,0.074220,0.018791,0.193438,0.027255,0.070639,0.089435,0.057420
109,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_camera,8,0.816013,0.943766,0.731030,0.057615,0.075036,0.014929,0.191205,0.029010,0.069764,0.089877,0.058044
110,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,heldout_camera,9,0.800723,0.936252,0.735194,0.049395,0.073527,0.016033,0.187628,0.030321,0.069269,0.087486,0.054643
111,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,combined_stress,0,0.789335,0.908770,0.721604,0.058735,0.078818,0.018642,0.197363,0.027965,0.074998,0.097184,0.061379
112,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,combined_stress,1,0.786423,0.903892,0.729908,0.062135,0.084411,0.019937,0.196553,0.029272,0.073033,0.103649,0.065227
113,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,combined_stress,2,0.766933,0.882456,0.726020,0.066150,0.080951,0.015715,0.194810,0.034119,0.073065,0.101449,0.064817
114,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,combined_stress,3,0.780123,0.899707,0.720902,0.059135,0.079253,0.016525,0.197069,0.028977,0.076855,0.096822,0.060621
115,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,combined_stress,4,0.776477,0.899022,0.727820,0.061540,0.079964,0.013965,0.191520,0.028747,0.075315,0.096453,0.060405
116,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,combined_stress,5,0.781999,0.900393,0.721490,0.058925,0.081389,0.018279,0.195464,0.030426,0.076998,0.099957,0.062268
117,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,combined_stress,6,0.797321,0.915307,0.722960,0.061035,0.083257,0.015766,0.193233,0.033530,0.074180,0.101472,0.062793
118,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,combined_stress,7,0.767623,0.883566,0.724988,0.065635,0.084576,0.015700,0.192249,0.029650,0.076205,0.102807,0.064554
119,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,combined_stress,8,0.802925,0.925730,0.724580,0.057710,0.078471,0.017330,0.192700,0.028563,0.074475,0.097174,0.060157
120,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,fov_escape_risk,combined_stress,9,0.787171,0.908033,0.728198,0.061765,0.081337,0.014199,0.192539,0.032559,0.075660,0.097118,0.061637
121,full_stability_calibrated_arbiter_v5,all terms enabled,eye_in_hand_peg_insert,compound_visual_geometry_shift,clean_deployment,0,0.808408,0.940489,0.734475,0.055268,0.073235,0.017029,0.186033,0.024929,0.069871,0.090160,0.057004
